,gene_name
0,YALI0F05390g
1,YALI0D13596g
2,YALI0D11704g
3,YALI0E21021g
4,YALI0C01411g
5,YALI0B17688g
6,YALI0B02852g
7,YALI0F18502g
8,YALI0E12463g
9,YALI0F23221g
10,YALI0A19558g
11,YALI0E06457g
12,YALI0D14476g
13,YALI0E31086g
14,YALI0E18238g
15,YALI0C03025g
16,YALI0D15422g
17,YALI0E14685g
18,YALI0B08536g
19,YALI0E11099g
20,YALI0E18568g
21,YALI0C24101g
22,YALI0D20152g
23,YALI0E29579g
24,YALI0B17666g
25,YALI0B16390g
26,YALI0D22847g
27,YALI0E30965g
28,YALI0C23859g
29,YALI0F10857g
30,YALI0E06567g
31,YALI0E32835g
32,YALI0E27654g
33,YALI0D24750g
34,YALI0B15059g
35,YALI0D09361g
36,YALI0E14949g
37,YALI0D26367g
38,YALI0E32681g
39,YALI0F25773g
40,YALI0F23067g
41,YALI0A12573g
42,YALI0E27093g
43,YALI0E35222g
44,YALI0F05962p
45,YALI0E04312g
46,YALI0A05379g
47,YALI0D07392g
48,YALI0F30569g
49,YALI0C00209g
50,YALI0B00704g
51,YALI0F26521g
52,YALI0D07535g
53,YALI0B18759g
54,YALI0F23463g
55,YALI0F03597g
56,YALI0D05797g
57,YALI0C23969g
58,YALI0D07370g
59,YALI0E09493g
60,YALI0B17402g
61,YALI0E28963g
62,YALI0E30481g
63,YALI0E16643g
64,YALI0F11759g
65,YALI0D25168g
66,YALI0A19206g
67,YALI0D24409g
68,YALI0B23188g
69,YALI0E16929g
70,YALI0E33517g
71,YALI0D20768g
72,YALI0F16709g
73,YALI0C06083g
74,YALI0D06325g
75,YALI0B04180g
76,YALI0C00451g
77,YALI0B16522g
78,YALI0C00319g
79,YALI0F06974g
80,YALI0F18590g
81,YALI0B21780g
82,YALI0D04092g
83,YALI0E18348g
84,YALI0C13508g
85,YALI0A15906g
86,YALI0E17787g
87,YALI0D07942g
88,YALI0F04444g
89,YALI0B01298g
90,YALI0E00264g
91,YALI0F23793g
92,YALI0D18337g
93,YALI0F23243g
94,YALI0D05621g
95,YALI0D13970g
96,YALI0E07271g
97,YALI0E21549g
98,YALI0F16401g
99,YALI0E34771g
100,YALI0E11847g
101,YALI0E11495g
102,YALI0D14894g
103,YALI0E13057g
104,YALI0E32736g
105,YALI0D06501g
106,YALI0F30811g
107,YALI0D07634g
108,YALI0E07535g
109,YALI0B14399g
110,YALI0E17985g
111,YALI0B19338g
112,YALI0E18282g
113,YALI0E00638g
114,YALI0E02684g
115,YALI0A13387g
116,YALI0F28149g
117,YALI0E05005g
118,YALI0E04939g
119,YALI0E05137g
120,YALI0D06303g
121,YALI0F04095g
122,YALI0F29337g
123,YALI0B02178g
124,YALI0D22264g
125,YALI0F26433g
126,YALI0D24431g
127,YALI0E34793g
128,YALI0E03058g
129,YALI0F30349g
130,YALI0C05170g
131,YALI0E00418g
132,YALI0B21527g
133,YALI0D00583g
134,YALI0A09900g
135,YALI0A11143g
136,YALI0B03982g
137,YALI0B06831g
138,YALI0B11913g
139,YALI0F27665g
140,YALI0B03982p
141,YALI0B06831p
142,YALI0A11143p
143,YALI0B11913p
144,YALI0B21527p
145,YALI0D00583p
146,YALI0A09900p
147,YALI0E08536g
148,YALI0B08140g
149,YALI0F13607g
150,YALI0A18183g
151,YALI0D15400g
152,YALI0A18062g
153,YALI0D11176g
154,YALI0E16368g
155,YALI0C11407g
156,YALI0C05951g
157,YALI0D20878g
158,YALI0E32065g
159,YALI0E34265g
160,YALI0E34749g
161,YALI0F30987g
162,YALI0E23185g
163,YALI0B19382g
164,YALI0E14102g
165,YALI0E17347g
166,YALI0F12749g
167,YALI0D18271g
168,YALI0E16907g
169,YALI0D11110g
170,YALI0E14751g
171,YALI0F30833g
172,YALI0D25938g
173,YALI0E22198g
174,YALI0D03179g
175,YALI0C24354g
176,YALI0B16324g
177,YALI0F26323g
178,YALI0F23837g
179,YALI0C12771g
180,YALI0E01056g
181,YALI0F30745g
182,YALI0E29975g
183,YALI0C02431g
184,YALI0C07678g
185,YALI0F21197g
186,YALI0B10340g
187,YALI0F22517g
188,YALI0B05368g
189,YALI0C06490g
190,YALI0E15125g
191,YALI0F05874g
192,YALI0D00605g
193,YALI0D15268g
194,YALI0D17072g
195,YALI0E31009g
196,YALI0C10989g
197,YALI0B18348g
198,YALI0D13112g
199,YALI0E14443g
200,YALI0C23210g
201,YALI0F17820g
202,YALI0B20020g
203,YALI0F00506g
204,YALI0D13024g
205,YALI0B02948g
206,YALI0C16434g
207,YALI0E32769g
208,YALI0E16797g
209,YALI0A09856g
210,YALI0E20691g
211,YALI0F09273g
212,YALI0F01606g
213,YALI0F02849g
214,YALI0D01089g
215,YALI0F22781g
216,YALI0F09966g
217,YALI0F06468g
218,YALI0A02541g
219,YALI0B20438g
220,YALI0F16819g
221,YALI0B03344g
222,YALI0F17138g
223,YALI0E05753g
224,YALI0D17050g
225,YALI0B15884g
226,YALI0E33495g
227,YALI0E18942g
228,YALI0E26004g
229,YALI0F07711g
230,YALI0C06369g
231,YALI0D09229g
232,YALI0B02728g
233,YALI0E15488g
234,YALI0F20900g
235,YALI0D03135g
