id,name,genes
13BGH,Endo 1 3 beta glucan glucohydrase,frozenset({<Gene YALI0F05390g at 0x7f41338d4e90>})
13BGHe,Exo 1 3 beta glucan glucohydrase,frozenset({<Gene YALI0F05390g at 0x7f41338d4e90>})
ASADi,aspartate semialdehyde dehydrogenase irreversible,frozenset({<Gene YALI0D13596g at 0x7f41338d4790>})
2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,frozenset()
2DHPtm,2 Dehydropantoate mitochondrial transport,frozenset()
2OHPH_5tn,2 Octaprenyl 6 hydroxyphenol nuclear transport,frozenset()
2OMPH_5tm,2 Octaprenyl 6 methoxyprenol mitochondrial transport,frozenset()
2OMPH_5tn,2 Octaprenyl 6 methoxyprenol nuclear transport,frozenset()
ASPKi,aspartate kinase irreversible,frozenset({<Gene YALI0D11704g at 0x7f413389a0d0>})
34HPPOR,4 Hydroxyphenylpyruvateoxygen oxidoreductase,frozenset()
34HPPt2m,3 4 hydroxyphenyl pyruvate mitochondrial transport via proton symport,frozenset()
34HPPt2p,3 4 hydroxyphenyl pyruvate peroxisomal transport via proton symport,frozenset()
13GS,1 3 beta glucan synthase,"frozenset({<Gene YALI0E21021g at 0x7f413389af50>, <Gene YALI0C01411g at 0x7f4133ed86d0>})"
3C4MOPtm,3 Carboxy 4 methyl 2 oxopentanoate transport diffusion mitochondrial,frozenset()
3DSPHR,3 Dehydrosphinganine reductase,frozenset({<Gene YALI0B17688g at 0x7f413389a050>})
3HAO,3 hydroxyanthranilate 3 4 dioxygenase,frozenset({<Gene YALI0B02852g at 0x7f413389af90>})
GLCS2,glycogen synthase UDPGlc ,frozenset({<Gene YALI0F18502g at 0x7f413389af10>})
SBTD_D2,D sorbitol dehydrogenase D fructose producing ,frozenset({<Gene YALI0E12463g at 0x7f413382b110>})
3OPHB_5tm,3 Octaprenyl 4 hydroxybenzoate mitochondrial transport,frozenset()
4ABUTNtm,4 aminobutanal mitochondrial transport via diffusion,frozenset()
4ABUTtm,4 aminobutanoate mitochondrial transport via diffusion,frozenset()
4ABZtm,4 Aminobenzoate mitochondrial transport via diffusion,frozenset()
4H2OGLTtm,4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion,frozenset()
4H2OGLTtp,4 hydroxy 2 oxoglutarate peroxisomal transport via diffusion,frozenset()
4HBZtm,4 Hydroxybenzoate mitochondrial transport,frozenset()
4HPRO_LTtm,trans 4 hydroxy L proline mitochondrial transport via diffusion,frozenset()
4HTHRS,4 Hydroxy L threonine synthase,frozenset({<Gene YALI0F23221g at 0x7f413382b1d0>})
5AOPt2,5 Aminolevulinate transport in via proton symport,frozenset({<Gene YALI0A19558g at 0x7f413382b350>})
5AOPtm,5 Aminolevulinate mitochondrial transport,frozenset()
5MTHFtm,5 Methyltetrahydrofolate mitochondrial transport via diffusion,frozenset()
6PGLter,6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion,frozenset()
8AONNt2,8 Amino 7 oxononanoate reversible transport via proton symport,frozenset()
AABTN,4 acetamidobutyrate deacetylase,frozenset()
AASAD1,L aminoadipate semialdehyde dehydrogenase NADPH ,frozenset({<Gene YALI0E06457g at 0x7f413382b490>})
TRE6PP,trehalose phosphatase,"frozenset({<Gene YALI0E31086g at 0x7f413382b390>, <Gene YALI0D14476g at 0x7f413382b090>})"
ABTA,4 aminobutyrate transaminase,frozenset({<Gene YALI0E18238g at 0x7f413382b510>})
ABTt,L arabinitol transport via passive diffusion,frozenset()
ABUTDm,Aminobutyraldehyde dehydrogenase mitochondrial,frozenset({<Gene YALI0C03025g at 0x7f413382b690>})
ABUTt2,4 aminobutyrate transport in via proton symport,"frozenset({<Gene YALI0D15422g at 0x7f413382b650>, <Gene YALI0A19558g at 0x7f413382b350>})"
TRE6PS,alpha alpha trehalose phosphate synthase UDP forming ,"frozenset({<Gene YALI0E31086g at 0x7f413382b390>, <Gene YALI0E14685g at 0x7f413382b8d0>, <Gene YALI0D14476g at 0x7f413382b090>})"
ACACT1m,acetyl CoA C acetyltransferase mitochondrial,"frozenset({<Gene YALI0E11099g at 0x7f413382b790>, <Gene YALI0B08536g at 0x7f413382b890>})"
ACACT4p,acetyl CoA C acetyltransferase octanoyl CoA peroxisomal,frozenset({<Gene YALI0E18568g at 0x7f413382b750>})
ACACT5p,acetyl CoA C acyltransferase decanoyl CoA peroxisomal,frozenset({<Gene YALI0E18568g at 0x7f413382b750>})
ACACT6p,acetyl CoA C acetyltransferase dodecanoyl peroxisomal,frozenset({<Gene YALI0E18568g at 0x7f413382b750>})
ACACT7p,acetyl CoA acyltransferase tetradecanoyl CoA peroxisomal,frozenset({<Gene YALI0E18568g at 0x7f413382b750>})
ACACT8p,acetyl CoA acyltransferase hexadecanoyl CoA peroxisomal,frozenset({<Gene YALI0E18568g at 0x7f413382b750>})
ACACT9p,acetyl CoA acyltransferase tetracosanoyl CoA peroxisomal,frozenset({<Gene YALI0E18568g at 0x7f413382b750>})
PC,pyruvate carboxylase,frozenset({<Gene YALI0C24101g at 0x7f413382b590>})
ACGAM6PS,N acetylglucosamine 6 phosphate synthase,frozenset({<Gene YALI0D20152g at 0x7f413382ba10>})
ACGAMPM,phosphoacetylglucosamine mutase,frozenset({<Gene YALI0E29579g at 0x7f413382b6d0>})
ACGKm,acetylglutamate kinase mitochondrial,frozenset({<Gene YALI0B17666g at 0x7f413382b950>})
ACGSm,N acteylglutamate synthase mitochondrial,frozenset({<Gene YALI0B16390g at 0x7f413382ba90>})
ACOTAim,acteylornithine transaminase irreversible mitochondrial,frozenset({<Gene YALI0D22847g at 0x7f413382bb10>})
AGPRim,N acetyl g glutamyl phosphate reductase irreversible mitochondrial,frozenset({<Gene YALI0B17666g at 0x7f413382b950>})
ACOAH,acetyl CoA hydrolase,frozenset({<Gene YALI0E30965g at 0x7f413382bad0>})
ACOAO4p,acyl CoA oxidase decanoyl CoA peroxisomal,"frozenset({<Gene YALI0E06567g at 0x7f413382bdd0>, <Gene YALI0E27654g at 0x7f413382bf10>, <Gene YALI0D24750g at 0x7f413382bc50>, <Gene YALI0C23859g at 0x7f413382bb50>, <Gene YALI0E32835g at 0x7f413382bb90>, <Gene YALI0F10857g at 0x7f413382bbd0>})"
ACOAO5p,acyl CoA oxidase dodecanoyl CoA peroxisomal,"frozenset({<Gene YALI0E06567g at 0x7f413382bdd0>, <Gene YALI0E27654g at 0x7f413382bf10>, <Gene YALI0D24750g at 0x7f413382bc50>, <Gene YALI0C23859g at 0x7f413382bb50>, <Gene YALI0E32835g at 0x7f413382bb90>, <Gene YALI0F10857g at 0x7f413382bbd0>})"
ACOAO6p,acyl CpA oxidase tetradecanoyl CoA peroxisomal,"frozenset({<Gene YALI0E06567g at 0x7f413382bdd0>, <Gene YALI0E27654g at 0x7f413382bf10>, <Gene YALI0D24750g at 0x7f413382bc50>, <Gene YALI0C23859g at 0x7f413382bb50>, <Gene YALI0E32835g at 0x7f413382bb90>, <Gene YALI0F10857g at 0x7f413382bbd0>})"
ACOAO7p,acyl CoA oxidase hexadecanoyl CoA peroxisomal,"frozenset({<Gene YALI0E06567g at 0x7f413382bdd0>, <Gene YALI0E27654g at 0x7f413382bf10>, <Gene YALI0D24750g at 0x7f413382bc50>, <Gene YALI0C23859g at 0x7f413382bb50>, <Gene YALI0E32835g at 0x7f413382bb90>, <Gene YALI0F10857g at 0x7f413382bbd0>})"
ACOAO8p,acyl CoA oxidase octadecanoyl CoA peroxisomal,"frozenset({<Gene YALI0E06567g at 0x7f413382bdd0>, <Gene YALI0E27654g at 0x7f413382bf10>, <Gene YALI0D24750g at 0x7f413382bc50>, <Gene YALI0C23859g at 0x7f413382bb50>, <Gene YALI0E32835g at 0x7f413382bb90>, <Gene YALI0F10857g at 0x7f413382bbd0>})"
ACOAO9p,acyl CoA oxidase hexacanoyl CoA peroxisomal,"frozenset({<Gene YALI0E06567g at 0x7f413382bdd0>, <Gene YALI0E27654g at 0x7f413382bf10>, <Gene YALI0D24750g at 0x7f413382bc50>, <Gene YALI0C23859g at 0x7f413382bb50>, <Gene YALI0E32835g at 0x7f413382bb90>, <Gene YALI0F10857g at 0x7f413382bbd0>})"
ACOATA,Acetyl CoA ACP transacylase,frozenset({<Gene YALI0B15059g at 0x7f413382bc90>})
ACOATAm,Acetyl CoA ACP transacylase,frozenset({<Gene YALI0B15059g at 0x7f413382bc90>})
ACONT,aconitase,frozenset({<Gene YALI0D09361g at 0x7f413382bd50>})
ACONTm,Aconitate hydratase,"frozenset({<Gene YALI0E14949g at 0x7f4133830190>, <Gene YALI0D09361g at 0x7f413382bd50>})"
ARGSL,argininosuccinate lyase,frozenset({<Gene YALI0D26367g at 0x7f413382bc10>})
ACP1e,acid phosphatase extracellular secreted ,"frozenset({<Gene YALI0E27093g at 0x7f4133830110>, <Gene YALI0E32681g at 0x7f4133830310>, <Gene YALI0F25773g at 0x7f4133830250>, <Gene YALI0A12573g at 0x7f4133830050>, <Gene YALI0F23067g at 0x7f4133830090>, <Gene YALI0E35222g at 0x7f41338302d0>})"
