,1,2,3,4,5,6,7,8,9,10
2DDA7Ptm,-0.079087,-0.071965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC,1.497076,1.362264,1.861681,3.994943,6.128205,8.261467,10.394729,11.221584,11.893046,12.564508
ACONTm,10.272671,8.185544,6.340333,4.869001,3.397668,1.926336,0.455004,0.233816,0.158661,0.083506
ICDHym,5.337722,6.162887,6.340333,4.869001,3.397668,1.926336,0.455004,0.233816,0.158661,0.083506
ASPTA,-1.558135,-1.417825,-1.792693,-1.584167,-1.37564,-1.167114,-0.958587,-0.727421,-0.493607,-0.259793
ASPTAm,0.0,0.0,0.517591,0.457385,0.397179,0.336972,0.276766,0.210023,0.142516,0.075008
ASPt2m,0.0,0.0,0.517591,0.457385,0.397179,0.336972,0.276766,0.210023,0.142516,0.075008
CITtbm,-0.079087,-0.071965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITtcm,4.93495,2.022657,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
DHFRi,0.0,0.0,0.004761,0.004207,0.003653,0.0031,0.002546,0.0,0.0,0.0
FTHFL,0.0,0.0,0.127941,0.113059,0.098176,0.083294,0.068412,0.051914,0.035228,0.018541
DDPAm,0.079087,0.071965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLNS,2.920947,2.657916,2.390361,2.112313,1.834266,1.556219,1.278171,6.826127,13.057149,19.288171
ENO,27.998974,28.233074,28.687204,29.464448,30.241692,31.018936,31.79618,33.677514,35.687798,37.698081
FBA,10.275177,9.457713,8.930255,9.140564,9.350873,9.561182,9.771491,12.044046,14.557428,17.070811
GAPD,29.629396,29.716677,29.957492,30.586976,31.216459,31.845943,32.475427,34.192959,36.037564,37.882168
E4Ptm,0.079087,0.071965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFK,10.275177,9.457713,8.930255,9.140564,9.350873,9.561182,9.771491,12.044046,14.557428,17.070811
FACOAL140,-0.387898,-0.352968,-0.317437,-0.280512,-0.243588,-0.206664,-0.169739,-0.128806,-0.087404,-0.046002
FACOAL180,0.387898,0.352968,0.317437,0.280512,0.243588,0.206664,0.169739,0.128806,0.087404,0.046002
PGI,8.513579,7.008154,5.932937,5.953231,5.973526,5.99382,6.014114,9.095732,12.534843,15.973953
PGK,-29.629396,-29.716677,-29.957492,-30.586976,-31.216459,-31.845943,-32.475427,-34.192959,-36.037564,-37.882168
PGM,-27.998974,-28.233074,-28.687204,-29.464448,-30.241692,-31.018936,-31.79618,-33.677514,-35.687798,-37.698081
FAS160,0.387898,0.352968,0.317437,0.280512,0.243588,0.206664,0.169739,0.128806,0.087404,0.046002
PYK,27.840799,28.089143,28.557762,29.350063,30.142363,30.934664,31.726965,33.62499,35.652156,37.679322
FAS180,0.387898,0.352968,0.317437,0.280512,0.243588,0.206664,0.169739,0.128806,0.087404,0.046002
TPI,13.059323,12.837739,12.764376,13.067363,13.370349,13.673335,13.976321,15.331909,16.810422,18.288936
FBA3,3.186328,3.745992,4.163248,4.217641,4.272034,4.326428,4.380821,3.421413,2.343617,1.265822
FDH,0.15634,0.142261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6PDH2,9.989136,11.629392,12.841758,12.963992,13.086225,13.208458,13.330692,10.407076,7.127777,3.848478
NADH2_u6cm,46.325692,48.826953,51.150589,51.813044,52.475498,53.137952,53.800406,50.846132,47.469596,44.093059
PPA,6.658498,7.038271,7.409123,7.759284,8.109445,8.459607,8.809768,9.100402,9.384072,9.667743
GND,10.289443,11.902656,13.087515,13.181162,13.274809,13.368456,13.462103,10.506797,7.195445,3.884092
PGL,10.289443,11.902656,13.087515,13.181162,13.274809,13.368456,13.462103,10.506797,7.195445,3.884092
GLUSx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85619,12.398977,18.941765
