,1,2,3,4,5,6,7,8,9,10
ASADi,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683
ASPKi,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683
13GS,1.253119,1.253119,1.253119,1.253119,1.253119,1.253119,1.253119,1.253119,1.253119,1.253119
6PGLter,-0.32735,-0.32735,-0.32735,-0.32735,-0.32735,-0.32735,-0.32735,-0.32735,-0.32735,-0.32735
TRE6PP,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113
TRE6PS,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113,0.009113
ACGKm,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
ACOTAim,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
AGPRim,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
ACONT,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243
ARGSL,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
ARGSSr,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
CBPS,0.43895,0.43895,0.43895,0.43895,0.43895,0.43895,0.43895,0.43895,0.43895,0.43895
ADSL1r,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048
ADSS,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048,0.258048
AICART,0.527698,0.527698,0.527698,0.527698,0.527698,0.527698,0.527698,0.527698,0.527698,0.527698
AKGDam,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261
AKGDbm,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261
OCBTi,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
ORNTACim,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
biomass_C_limited,4.451877,4.451877,4.451877,4.451877,4.451877,4.451877,4.451877,4.451877,4.451877,4.451877
CSm,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799
ATPPRT,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
ACACT1,-3.070801,-3.070801,-3.070801,-3.070801,-3.070801,-3.070801,-3.070801,-3.070801,-3.070801,-3.070801
ACCOACr,7.044439,7.044439,7.044439,7.044439,7.044439,7.044439,7.044439,7.044439,7.044439,7.044439
FAS100COA,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019
FAS120COA,0.963482,0.963482,0.963482,0.963482,0.963482,0.963482,0.963482,0.963482,0.963482,0.963482
FAS140COA,0.91087,0.91087,0.91087,0.91087,0.91087,0.91087,0.91087,0.91087,0.91087,0.91087
FAS80COA_L,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019,0.981019
MAN1PT,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279
CYTK1,0.144704,0.144704,0.144704,0.144704,0.144704,0.144704,0.144704,0.144704,0.144704,0.144704
MAN6PI,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279
PMANM,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279
DCMPDA,-0.006391,-0.006391,-0.006391,-0.006391,-0.006391,-0.006391,-0.006391,-0.006391,-0.006391,-0.006391
ANS,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446
GLNS,3.183979,3.183979,3.183979,3.183979,3.183979,3.183979,3.183979,3.183979,3.183979,3.183979
G3PD1ir,9.314736,9.314736,9.314736,9.314736,9.314736,9.314736,9.314736,9.314736,9.314736,9.314736
GCC2am,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018
DHAPtm,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337
GCC2bim,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018,0.387018
DHFRim,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342
DHFtm,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342
FBA,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307
PDHm,16.74954,16.74954,16.74954,16.74954,16.74954,16.74954,16.74954,16.74954,16.74954,16.74954
PFK,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307,13.719307
FACOAL140,-0.823184,-0.823184,-0.823184,-0.823184,-0.823184,-0.823184,-0.823184,-0.823184,-0.823184,-0.823184
FACOAL160,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184
PGI,10.019004,10.019004,10.019004,10.019004,10.019004,10.019004,10.019004,10.019004,10.019004,10.019004
FAS160,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184,0.823184
DOLPMMer,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279
DOLPMTcer,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279,0.313279
FDNG,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
FUMm,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261
G3PDm,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337
G6PDH2,8.348881,8.348881,8.348881,8.348881,8.348881,8.348881,8.348881,8.348881,8.348881,8.348881
UMPK,0.176562,0.176562,0.176562,0.176562,0.176562,0.176562,0.176562,0.176562,0.176562,0.176562
ATPS3m,104.41996,104.41996,104.41996,104.41996,104.41996,104.41996,104.41996,104.41996,104.41996,104.41996
GALU,1.262232,1.262232,1.262232,1.262232,1.262232,1.262232,1.262232,1.262232,1.262232,1.262232
MDH,12.426357,12.426357,12.426357,12.426357,12.426357,12.426357,12.426357,12.426357,12.426357,12.426357
GCC2cm,11.979279,11.979279,11.979279,11.979279,11.979279,11.979279,11.979279,11.979279,11.979279,11.979279
NADH2_u6cm,47.137475,47.137475,47.137475,47.137475,47.137475,47.137475,47.137475,47.137475,47.137475,47.137475
PPA,6.278726,6.278726,6.278726,6.278726,6.278726,6.278726,6.278726,6.278726,6.278726,6.278726
G6PDH2er,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735
GND,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231
PGL,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231,8.676231
PGMT,-1.262232,-1.262232,-1.262232,-1.262232,-1.262232,-1.262232,-1.262232,-1.262232,-1.262232,-1.262232
GLUt2m,-7.357153,-7.357153,-7.357153,-7.357153,-7.357153,-7.357153,-7.357153,-7.357153,-7.357153,-7.357153
GLYC3Ptm,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337,8.876337
RPE,5.167121,5.167121,5.167121,5.167121,5.167121,5.167121,5.167121,5.167121,5.167121,5.167121
RPI,-3.50911,-3.50911,-3.50911,-3.50911,-3.50911,-3.50911,-3.50911,-3.50911,-3.50911,-3.50911
H2Oter,-0.170418,-0.170418,-0.170418,-0.170418,-0.170418,-0.170418,-0.170418,-0.170418,-0.170418,-0.170418
H2Otm,-177.783135,-177.783135,-177.783135,-177.783135,-177.783135,-177.783135,-177.783135,-177.783135,-177.783135,-177.783135
TKT2,2.540456,2.540456,2.540456,2.540456,2.540456,2.540456,2.540456,2.540456,2.540456,2.540456
DAGPYP_SC,0.104189,0.104189,0.104189,0.104189,0.104189,0.104189,0.104189,0.104189,0.104189,0.104189
HCO3E,13.208584,13.208584,13.208584,13.208584,13.208584,13.208584,13.208584,13.208584,13.208584,13.208584
DASYN_SC,0.308533,0.308533,0.308533,0.308533,0.308533,0.308533,0.308533,0.308533,0.308533,0.308533
HISTD,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
HISTP,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
HMGCOAS,3.070801,3.070801,3.070801,3.070801,3.070801,3.070801,3.070801,3.070801,3.070801,3.070801
HSDxi,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683,0.24683
HSTPT,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
ICDHy,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243,7.847243
IG3PS,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
IGPDH,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
PSERDm_SC,0.259656,0.259656,0.259656,0.259656,0.259656,0.259656,0.259656,0.259656,0.259656,0.259656
PSERS_SC,0.275112,0.275112,0.275112,0.275112,0.275112,0.275112,0.275112,0.275112,0.275112,0.275112
IMPC,-0.527698,-0.527698,-0.527698,-0.527698,-0.527698,-0.527698,-0.527698,-0.527698,-0.527698,-0.527698
IPDDI,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836
TMDS,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342,0.006342
HCITSm,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
C14STR,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
C24STRer,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932
MALtm,-19.353294,-19.353294,-19.353294,-19.353294,-19.353294,-19.353294,-19.353294,-19.353294,-19.353294,-19.353294
C3STDH1,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
C3STDH2,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
C3STKR1,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
C3STKR2,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
C4STMO1,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
C4STMO2,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
CHLSTI,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932
MEVK2,1.022507,1.022507,1.022507,1.022507,1.022507,1.022507,1.022507,1.022507,1.022507,1.022507
LNS14DM,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
MLTHFtm,-0.774037,-0.774037,-0.774037,-0.774037,-0.774037,-0.774037,-0.774037,-0.774037,-0.774037,-0.774037
LNSTLS,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
SQLEr,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
NDPK3,1.167211,1.167211,1.167211,1.167211,1.167211,1.167211,1.167211,1.167211,1.167211,1.167211
SQLS,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
AASAD2,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
AATA,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
HACNHm,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
HICITDm,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
OAAt2m,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799,12.359799
MCITDm,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
OXAGm,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
SACCD1,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
SACCD2,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
DOLPt2er,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279
ERGSTter,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932
ERGTETROLter,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932,0.156932
G6Pter,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735,0.32735
MANNANter,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279,-0.313279
O2ter,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
SQ23EPXter,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
PEtm_SC,-0.002597,-0.002597,-0.002597,-0.002597,-0.002597,-0.002597,-0.002597,-0.002597,-0.002597,-0.002597
SQLter,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418,0.170418
CO2t,-58.28025,-58.28025,-58.28025,-58.28025,-58.28025,-58.28025,-58.28025,-58.28025,-58.28025,-58.28025
H2Ot,-79.618681,-79.618681,-79.618681,-79.618681,-79.618681,-79.618681,-79.618681,-79.618681,-79.618681,-79.618681
PIt2r,1.177912,1.177912,1.177912,1.177912,1.177912,1.177912,1.177912,1.177912,1.177912,1.177912
SO4ti,0.122443,0.122443,0.122443,0.122443,0.122443,0.122443,0.122443,0.122443,0.122443,0.122443
2OXOADPtim,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918,0.1918
CITtam,-7.761034,-7.761034,-7.761034,-7.761034,-7.761034,-7.761034,-7.761034,-7.761034,-7.761034,-7.761034
NH4tm,-0.451278,-0.451278,-0.451278,-0.451278,-0.451278,-0.451278,-0.451278,-0.451278,-0.451278,-0.451278
PRAMPC,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
PRATPP,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
PRMICIi,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298,0.037298
PRPPS,0.882445,0.882445,0.882445,0.882445,0.882445,0.882445,0.882445,0.882445,0.882445,0.882445
ORNt3m,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649,0.085649
PStm_SC,0.002597,0.002597,0.002597,0.002597,0.002597,0.002597,0.002597,0.002597,0.002597,0.002597
RNDR4,0.012733,0.012733,0.012733,0.012733,0.012733,0.012733,0.012733,0.012733,0.012733,0.012733
ANPRT,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446
IGPS,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446
PHETA1,-0.056715,-0.056715,-0.056715,-0.056715,-0.056715,-0.056715,-0.056715,-0.056715,-0.056715,-0.056715
PPND2,0.028049,0.028049,0.028049,0.028049,0.028049,0.028049,0.028049,0.028049,0.028049,0.028049
PPNDH,0.056715,0.056715,0.056715,0.056715,0.056715,0.056715,0.056715,0.056715,0.056715,0.056715
PRAIi,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446
TRPS1,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446,0.001446
SUCD2_u6m,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261,11.592261
SUCOASm,-11.592261,-11.592261,-11.592261,-11.592261,-11.592261,-11.592261,-11.592261,-11.592261,-11.592261,-11.592261
TALA,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665
ACLSm,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307
DHAD1m,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307
TKT1,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665,2.626665
TYRTA,7.157807,7.157807,7.157807,7.157807,7.157807,7.157807,7.157807,7.157807,7.157807,7.157807
KARA1im,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307,4.356307
URIDK2r,-0.012733,-0.012733,-0.012733,-0.012733,-0.012733,-0.012733,-0.012733,-0.012733,-0.012733,-0.012733
LRO1_ps,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05
PLB_lps,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05
PL_gps,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05,3.1e-05
DMATTmodi,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836
GRTTmodi,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836,0.340836
PHYT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
