,1,2,3,4,5,6,7,8,9,10
ASADi,3.947857,5.349242,6.750627,8.152013,9.553398,10.954783,12.356168,13.757553,15.158938,16.560323
2DDA7Ptm,-0.085891,-0.077396,-0.068902,-0.060407,-0.051912,-0.043417,-0.034923,-0.026428,-0.017933,-0.009439
ASPKi,3.947857,5.349242,6.750627,8.152013,9.553398,10.954783,12.356168,13.757553,15.158938,16.560323
PC,11.154796,13.434534,15.714272,17.99401,20.273748,22.553486,24.833224,27.112962,29.3927,31.672438
ASPTA,-5.39412,-6.652468,-7.910816,-9.169164,-10.427512,-11.68586,-12.944208,-14.202556,-15.460904,-16.719252
CITtbm,-0.085891,-0.077396,-0.068902,-0.060407,-0.051912,-0.043417,-0.034923,-0.026428,-0.017933,-0.009439
CYSTL,0.0,0.516005,1.453619,2.391233,3.328847,4.266461,5.204075,6.141688,7.079302,8.016916
CYSTS,0.0,0.516005,1.453619,2.391233,3.328847,4.266461,5.204075,6.141688,7.079302,8.016916
GLUDy,25.177462,27.66147,30.145478,32.629485,35.113493,37.597501,40.081509,42.565516,45.049524,47.533532
DDPAm,0.085891,0.077396,0.068902,0.060407,0.051912,0.043417,0.034923,0.026428,0.017933,0.009439
GLNS,35.66661,38.905062,42.143514,45.381966,48.620417,51.858869,55.097321,58.335773,61.574224,64.812676
G3PD1ir,1.230578,1.581878,1.51157,1.441262,1.370954,1.300646,1.230338,1.160029,1.089721,1.019413
GCC2am,1.98649,2.306029,3.047177,3.788325,4.529472,5.27062,6.011768,6.752916,7.494063,8.235211
DHAPtm,0.793795,1.188294,1.161184,1.134074,1.106964,1.079854,1.052745,1.025635,0.998525,0.971415
GCC2bim,1.98649,2.306029,3.047177,3.788325,4.529472,5.27062,6.011768,6.752916,7.494063,8.235211
ENO,192.353378,193.109637,193.865897,194.622156,195.378416,196.134675,196.890935,197.647194,198.403454,199.159714
FBA,96.515165,96.859819,97.204473,97.549127,97.893781,98.238436,98.58309,98.927744,99.272398,99.617052
GAPD,192.353378,193.109637,193.865897,194.622156,195.378416,196.134675,196.890935,197.647194,198.403454,199.159714
E4Ptm,0.085891,0.077396,0.068902,0.060407,0.051912,0.043417,0.034923,0.026428,0.017933,0.009439
PDHm,6.608375,7.545927,8.483478,9.42103,10.358581,11.296133,12.233684,13.171236,14.108787,15.046339
PFK,96.515165,96.859819,97.204473,97.549127,97.893781,98.238436,98.58309,98.927744,99.272398,99.617052
PGI,98.373903,98.534726,98.695549,98.856371,99.017194,99.178017,99.33884,99.499663,99.660486,99.821308
PGK,-192.353378,-193.109637,-193.865897,-194.622156,-195.378416,-196.134675,-196.890935,-197.647194,-198.403454,-199.159714
PGM,-192.353378,-193.109637,-193.865897,-194.622156,-195.378416,-196.134675,-196.890935,-197.647194,-198.403454,-199.159714
PYK,192.181595,192.954844,193.728093,194.501342,195.274591,196.04784,196.821089,197.594338,198.367587,199.140836
TPI,96.078382,96.466235,96.854087,97.241939,97.629792,98.017644,98.405497,98.793349,99.181201,99.569054
ATPS3m,6.289646,6.481895,6.674143,6.866391,7.058639,7.250887,7.443136,7.635384,7.827632,8.01988
CYOOm,2.467892,2.71832,2.968748,3.219177,3.469605,3.720033,3.970462,4.22089,4.471319,4.721747
CYOR_u6m,4.935783,5.43664,5.937497,6.438353,6.93921,7.440067,7.940924,8.44178,8.942637,9.443494
MDHm,-4.995967,-6.092988,-7.190008,-8.287029,-9.384049,-10.48107,-11.57809,-12.675111,-13.772131,-14.869151
GCC2cm,1.98649,2.306029,3.047177,3.788325,4.529472,5.27062,6.011768,6.752916,7.494063,8.235211
GHMT2r,-2.474027,-3.261353,-4.891897,-6.522441,-8.152984,-9.783528,-11.414072,-13.044615,-14.675159,-16.305703
GHMT2rm,1.98649,2.306029,3.047177,3.788325,4.529472,5.27062,6.011768,6.752916,7.494063,8.235211
PPA,7.73678,8.562731,9.388682,10.214633,11.040584,11.866535,12.692486,13.518437,14.344388,15.170339
GLUSx,32.494373,36.046562,39.598752,43.150942,46.703131,50.255321,53.807511,57.3597,60.91189,64.464079
GLYC3Ptm,0.793795,1.188294,1.161184,1.134074,1.106964,1.079854,1.052745,1.025635,0.998525,0.971415
GLYt2r,-0.330351,-1.057501,-0.941434,-0.825367,-0.709299,-0.593232,-0.477165,-0.361098,-0.24503,-0.128963
H2Otm,-12.35875,-13.455773,-14.974406,-16.493038,-18.01167,-19.530302,-21.048934,-22.567566,-24.086198,-25.60483
HCO3E,24.125634,26.713668,29.301703,31.889738,34.477773,37.065808,39.653842,42.241877,44.829912,47.417947
HEX1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HMGCOAR,-2.466663,-3.813834,-5.161006,-6.508177,-7.855349,-9.20252,-10.549692,-11.896863,-13.244035,-14.591206
HSDxi,3.947857,5.349242,6.750627,8.152013,9.553398,10.954783,12.356168,13.757553,15.158938,16.560323
HSK,3.917177,5.321596,6.726015,8.130435,9.534854,10.939274,12.343693,13.748112,15.152532,16.556951
IPDDI,0.70156,1.029957,1.358354,1.68675,2.015147,2.343544,2.671941,3.000337,3.328734,3.657131
MALtm,0.257963,0.23245,0.206938,0.181425,0.155912,0.130399,0.104886,0.079373,0.05386,0.028348
ME2m,5.826988,6.841819,7.856651,8.871483,9.886314,10.901146,11.915977,12.930809,13.945641,14.960472
DPMVD,2.466663,3.813834,5.161006,6.508177,7.855349,9.20252,10.549692,11.896863,13.244035,14.591206
MLTHFtm,-3.97298,-4.612058,-6.094354,-7.576649,-9.058945,-10.54124,-12.023536,-13.505831,-14.988127,-16.470422
MEVK4,2.466663,3.813834,5.161006,6.508177,7.855349,9.20252,10.549692,11.896863,13.244035,14.591206
PMEVK,2.466663,3.813834,5.161006,6.508177,7.855349,9.20252,10.549692,11.896863,13.244035,14.591206
NADH2_u6m,4.583785,5.119455,5.655124,6.190794,6.726464,7.262134,7.797804,8.333473,8.869143,9.404813
NDPK2,5.03675,6.129737,7.222724,8.315711,9.408698,10.501685,11.594672,12.687659,13.780646,14.873633
OAAt2m,5.760675,6.782065,7.803455,8.824845,9.846235,10.867625,11.889015,12.910405,13.931795,14.953185
CO2t,-186.814265,-187.157822,-188.344596,-189.53137,-190.718143,-191.904917,-193.091691,-194.278465,-195.465238,-196.652012
GLCt1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
H2Ot,-37.95566,-39.849601,-41.321933,-42.794265,-44.266598,-45.73893,-47.211263,-48.683595,-50.155927,-51.62826
PIt2m,6.376386,6.560055,6.743725,6.927395,7.111064,7.294734,7.478403,7.662073,7.845742,8.029412
3C3HMPtm,-5.652575,-6.684656,-7.716737,-8.748818,-9.7809,-10.812981,-11.845062,-12.877143,-13.909225,-14.941306
ATPtm_H,6.204314,6.405001,6.605689,6.806377,7.007064,7.207752,7.40844,7.609128,7.809815,8.010503
CO2tm,-20.8185,-24.048914,-27.700936,-31.352959,-35.004981,-38.657004,-42.309026,-45.961049,-49.613072,-53.265094
NH4tm,-2.050512,-2.36372,-3.098535,-3.833351,-4.568167,-5.302983,-6.037799,-6.772615,-7.507431,-8.242247
O2tm,2.467892,2.71832,2.968748,3.219177,3.469605,3.720033,3.970462,4.22089,4.471319,4.721747
PYRt2m,12.399558,14.355482,16.311406,18.267331,20.223255,22.179179,24.135103,26.091028,28.046952,30.002876
SERt2m,1.98649,2.306029,3.047177,3.788325,4.529472,5.27062,6.011768,6.752916,7.494063,8.235211
THFtm,3.966662,4.606365,6.089285,7.572206,9.055126,10.538047,12.020967,13.503887,14.986808,16.469728
THRA,3.701938,5.127645,6.553352,7.979058,9.404765,10.830472,12.256179,13.681885,15.107592,16.533299
ACLSm,5.777074,6.796842,7.81661,8.836379,9.856147,10.875915,11.895683,12.915451,13.935219,14.954987
THRS,3.917177,5.321596,6.726015,8.130435,9.534854,10.939274,12.343693,13.748112,15.152532,16.556951
