,1,2,3,4,5,6,7,8,9,10
PC,9.041955,8.285572,13.846573,26.72375,39.600928,52.478105,63.763074,68.72464,72.488164,76.251688
ACONTm,32.234446,37.374157,35.866108,26.984589,18.10307,9.221551,1.876275,0.514243,0.350253,0.186263
ICDHym,32.234446,37.374157,35.866108,26.984589,18.10307,9.221551,1.876275,0.514243,0.350253,0.186263
ASPTA,-9.410739,-8.623506,-10.77201,-9.52805,-8.284091,-7.040131,-5.768694,-3.465515,-2.360378,-1.255242
ASPTAm,0.0,0.0,3.019057,2.670414,2.321771,1.973128,1.616785,0.317494,0.216247,0.114999
ASPt2m,0.0,0.0,3.019057,2.670414,2.321771,1.973128,1.616785,0.317494,0.216247,0.114999
DHFRi,0.0,0.0,0.028948,0.025605,0.022263,0.01892,0.0,0.0,0.0,0.0
GLNS,17.641778,16.165997,14.53402,12.85562,11.177221,9.498821,14.967846,51.672289,89.574773,127.477258
ENO,167.675864,167.905215,171.267809,175.959548,180.651287,185.343027,191.39164,203.526471,215.661302,227.796134
FBA,80.19604,78.137623,78.059261,79.657104,81.254946,82.852789,85.739166,94.404913,103.070659,111.736406
GAPD,177.051075,176.928795,178.991491,182.791294,186.591096,190.390899,195.527874,206.662607,217.797339,228.932071
PFK,80.19604,78.137623,78.059261,79.657104,81.254946,82.852789,85.739166,94.404913,103.070659,111.736406
PGI,49.685579,39.403196,34.626282,34.748786,34.871291,34.993796,38.878732,59.638508,80.398284,101.15806
PGK,-177.051075,-176.928795,-178.991491,-182.791294,-186.591096,-190.390899,-195.527874,-206.662607,-217.797339,-228.932071
PGM,-167.675864,-167.905215,-171.267809,-175.959548,-180.651287,-185.343027,-191.39164,-203.526471,-215.661302,-227.796134
PYK,166.720531,167.029798,170.480766,175.263394,180.046021,184.828649,190.970158,203.206899,215.44364,227.680382
TPI,77.766957,75.911739,76.058084,77.887023,79.715963,81.544903,84.667483,93.592352,102.51722,111.442089
FDH,0.0,0.865262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6PDH2,61.271201,72.310073,77.923543,78.66139,79.399237,80.137084,77.131504,57.336412,37.54132,17.746228
MDH,0.0,0.0,3.807429,3.367744,2.928059,2.488375,2.038978,0.797392,0.543107,0.288823
GHMT2rm,1.672265,1.965007,1.37768,1.218585,1.059489,0.900394,0.737784,0.559395,0.381007,0.202618
NADH2_u6cm,276.095189,292.494124,311.604837,329.299899,346.994962,364.690024,376.365505,361.114824,345.653401,330.191978
PPA,42.02043,46.341518,50.354591,54.276121,58.197652,62.119182,65.967606,69.487771,73.007936,76.528101
GND,63.08498,73.972124,79.417808,79.983097,80.548385,81.113673,77.931722,57.943145,37.954569,17.965993
PGL,63.08498,73.972124,79.417808,79.983097,80.548385,81.113673,77.931722,57.943145,37.954569,17.965993
GLUSx,0.0,0.0,0.0,0.0,0.0,0.0,7.184497,45.770873,85.555292,125.339711
GLYCLm,1.672265,1.965007,1.37768,1.218585,1.059489,0.900394,0.737784,0.559395,0.381007,0.202618
RPE,38.637799,46.181892,50.128614,50.830734,51.532855,52.234976,50.446122,37.48511,24.524098,11.563087
RPI,-24.447181,-27.790233,-29.289195,-29.152362,-29.015529,-28.878697,-27.4856,-20.458035,-13.430471,-6.402906
TKT2,19.080066,22.872092,24.867546,25.241329,25.615111,25.988894,25.117691,18.662662,12.207634,5.752605
HCO3E,80.417362,81.526446,88.384996,102.390937,116.396878,130.402818,142.681757,148.032051,152.184302,156.336554
HMGCOAR,-12.896796,-19.654153,-26.361349,-33.053637,-39.745924,-46.438212,-53.118594,-59.745518,-66.372443,-72.999367
IPDDI,3.696325,5.346169,6.979293,8.607448,10.235603,11.863758,13.487945,15.094312,16.700679,18.307046
ME2m,0.0,0.0,6.397439,20.134848,33.872257,47.609666,59.773867,65.699983,70.428056,75.156129
DPMVD,12.896796,19.654153,26.361349,33.053637,39.745924,46.438212,53.118594,59.745518,66.372443,72.999367
MLTHFtm,-3.34453,-3.930013,-2.755361,-2.43717,-2.118979,-1.800787,-1.475568,-1.118791,-0.762014,-0.405236
MEVK4,12.896796,19.654153,26.361349,33.053637,39.745924,46.438212,53.118594,59.745518,66.372443,72.999367
PMEVK,12.896796,19.654153,26.361349,33.053637,39.745924,46.438212,53.118594,59.745518,66.372443,72.999367
NDPK2,27.189834,32.751541,38.136539,43.469019,48.801499,54.133979,59.424518,64.526734,69.628951,74.731168
3C3HMPtm,-30.676319,-35.946372,-41.008848,-46.009631,-51.010415,-56.011198,-60.962714,-65.693011,-70.423307,-75.153604
NH4tm,-2.028312,-2.291269,-1.671007,-1.478037,-1.285068,-1.092099,-0.894868,-0.678498,-0.462128,-0.245758
PYRt2m,155.273009,156.53989,154.652388,146.786699,138.921009,131.05532,126.145775,133.677564,142.407395,151.137225
DDPA,0.0,0.437708,0.393521,0.348077,0.302633,0.257189,0.210741,0.0,0.0,0.0
SERt2m,1.672265,1.965007,1.37768,1.218585,1.059489,0.900394,0.737784,0.559395,0.381007,0.202618
TALA,19.557733,23.3098,25.261067,25.589406,25.917744,26.246083,25.328432,18.822448,12.316465,5.810481
THFtm,3.309392,3.897814,2.755361,2.43717,2.118979,1.800787,1.460065,1.107037,0.754008,0.400979
ACLSm,31.368699,36.580832,41.579259,46.514171,51.449083,56.383995,61.268184,65.924621,70.581058,75.237495
DHAD1m,31.368699,36.580832,41.579259,46.514171,51.449083,56.383995,61.268184,65.924621,70.581058,75.237495
TKT1,19.557733,23.3098,25.261067,25.589406,25.917744,26.246083,25.328432,18.822448,12.316465,5.810481
IPMD,30.676319,35.946372,41.008848,46.009631,51.010415,56.011198,60.962714,65.693011,70.423307,75.153604
IPPMIa,-30.676319,-35.946372,-41.008848,-46.009631,-51.010415,-56.011198,-60.962714,-65.693011,-70.423307,-75.153604
IPPMIb,-30.676319,-35.946372,-41.008848,-46.009631,-51.010415,-56.011198,-60.962714,-65.693011,-70.423307,-75.153604
IPPSm,30.676319,35.946372,41.008848,46.009631,51.010415,56.011198,60.962714,65.693011,70.423307,75.153604
KARA1im,31.368699,36.580832,41.579259,46.514171,51.449083,56.383995,61.268184,65.924621,70.581058,75.237495
OMCDC,30.676319,35.946372,41.008848,46.009631,51.010415,56.011198,60.962714,65.693011,70.423307,75.153604
MTHFC,4.696823,5.169184,3.869436,3.42259,2.975745,2.5289,2.072184,1.571151,1.070119,0.569086
MTHFD,4.696823,5.169184,3.869436,3.42259,2.975745,2.5289,2.072184,1.571151,1.070119,0.569086
LEUDH,29.911477,35.245511,40.37874,45.452289,50.525838,55.599386,60.625275,65.437161,70.249047,75.060933
MBCOAi,29.911477,35.245511,40.37874,45.452289,50.525838,55.599386,60.625275,65.437161,70.249047,75.060933
MCCC,29.911477,35.245511,40.37874,45.452289,50.525838,55.599386,60.625275,65.437161,70.249047,75.060933
MGCH,29.911477,35.245511,40.37874,45.452289,50.525838,55.599386,60.625275,65.437161,70.249047,75.060933
DMATTmodi,3.696325,5.346169,6.979293,8.607448,10.235603,11.863758,13.487945,15.094312,16.700679,18.307046
GRTTmodi,3.696325,5.346169,6.979293,8.607448,10.235603,11.863758,13.487945,15.094312,16.700679,18.307046
GGS1_r0373,1.807823,3.615646,5.423468,7.231291,9.039114,10.846937,12.65476,14.462582,16.270405,18.078228
PHYT,0.9039113999999999,1.8078227999999998,2.7117342,3.6156455999999997,4.519557,5.4234684,6.3273798,7.231291199999999,8.1352026,9.039114
