,1,2,3,4,5,6,7,8,9,10
6PGLter,-0.47619,-0.625029,-0.773812,-0.921905,-1.069996,-1.218087,-1.366179,-1.512989,-1.659244,-1.805499
PC,1.498982,1.366076,1.23257,3.176039,5.174379,7.17272,9.17106,10.183936,10.718868,11.253799
ACONTm,5.198042,5.883526,6.562938,5.148244,3.678594,2.208943,0.739292,0.215361,0.14865,0.081939
ICDHym,5.198042,5.883526,6.562938,5.148244,3.678594,2.208943,0.739292,0.215361,0.14865,0.081939
ASPTA,-1.560119,-1.421792,-1.803575,-1.597746,-1.391878,-1.186009,-0.980141,-0.727535,-0.502171,-0.276807
ASPTAm,0.0,0.0,0.520733,0.461306,0.401867,0.342428,0.282989,0.190674,0.13161,0.072546
ASPt2m,0.0,0.0,0.520733,0.461306,0.401867,0.342428,0.282989,0.190674,0.13161,0.072546
DHFRi,0.0,0.0,0.00479,0.004243,0.003697,0.00315,0.002603,0.0,0.0,0.0
FTHFL,0.0,0.0,0.451737,0.517913,0.45118,0.384448,0.317715,0.244665,0.168877,0.093088
GLNS,2.924666,2.665353,2.40487,2.13042,1.855917,1.581414,1.306911,5.599577,11.921597,18.243617
ENO,27.65788,27.550888,27.676579,28.107599,28.483455,28.859311,29.235167,30.483302,32.109318,33.735334
FBA,13.127367,12.535427,11.948113,11.832791,11.728659,11.624526,11.520394,12.243104,13.323998,14.404891
GAPD,29.290379,29.038642,28.793067,29.037806,29.293806,29.549805,29.805805,30.922737,32.412632,33.902527
PFK,13.127367,12.535427,11.948113,11.832791,11.728659,11.624526,11.520394,12.243104,13.323998,14.404891
PGK,-29.290379,-29.038642,-28.793067,-29.037806,-29.293806,-29.549805,-29.805805,-30.922737,-32.412632,-33.902527
PGM,-27.65788,-27.550888,-27.676579,-28.107599,-28.483455,-28.859311,-29.235167,-30.483302,-32.109318,-33.735334
PYK,27.499505,27.406554,27.546351,27.992233,28.382954,28.773675,29.164395,30.428803,32.0717,33.714598
TPI,12.724672,12.168437,11.616989,11.539455,11.473119,11.406783,11.340447,12.104531,13.228349,14.352168
FDNG,0.332039,0.49366,0.203544,0.298988,0.527342,0.755695,0.984049,1.218719,1.456128,1.693538
G6PDH2,10.803798,13.258713,15.703549,16.77769,17.818432,18.859174,19.899916,18.54438,16.150812,13.757245
NADH2_u6cm,45.762966,47.871917,50.277959,50.655852,51.05637,51.456888,51.857406,49.380777,45.705415,42.030053
PPA,6.820369,7.362012,7.901721,8.418375,8.934942,9.451508,9.968074,10.441742,10.896815,11.351888
G6PDH2er,0.47619,0.625029,0.773812,0.921905,1.069996,1.218087,1.366179,1.512989,1.659244,1.805499
GND,11.279987,13.883743,16.47736,17.699595,18.888428,20.077261,21.266095,20.057368,17.810056,15.562744
PGL,11.279987,13.883743,16.47736,17.699595,18.888428,20.077261,21.266095,20.057368,17.810056,15.562744
GLUSx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.593154,11.226927,17.8607
RPE,6.953212,8.739301,10.51886,11.386869,12.232622,13.078374,13.924126,13.176541,11.738749,10.300956
RPI,-4.326776,-5.144441,-5.9585,-6.312726,-6.655807,-6.998888,-7.341968,-6.880827,-6.071308,-5.261788
H2Oter,-0.332039,-0.49366,-0.65528,-0.816901,-0.978522,-1.140143,-1.301764,-1.463384,-1.625005,-1.786626
TKT2,3.437012,4.333567,5.226873,5.664593,6.091185,6.517778,6.94437,6.574646,5.85997,5.145294
HCO3E,13.185839,13.163093,13.135866,15.13932,17.197468,19.255616,21.313764,22.300312,22.771576,23.242841
HMGCOAR,-1.992233,-2.961958,-3.931682,-4.901407,-5.871132,-6.840857,-7.810582,-8.780306,-9.750031,-10.719756
IPDDI,0.664078,0.987319,1.310561,1.633802,1.957044,2.280286,2.603527,2.926769,3.25001,3.573252
C14STR,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
C3STDH1,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
C3STDH2,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
C3STKR1,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
C3STKR2,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
C4STMO1,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
C4STMO2,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
ME2m,0.0,0.0,0.0,2.084133,4.223165,6.362196,8.501228,9.668113,10.362828,11.057543
DPMVD,1.992233,2.961958,3.931682,4.901407,5.871132,6.840857,7.810582,8.780306,9.750031,10.719756
LNS14DM,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
LNSTLS,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
MEVK4,1.992233,2.961958,3.931682,4.901407,5.871132,6.840857,7.810582,8.780306,9.750031,10.719756
PMEVK,1.992233,2.961958,3.931682,4.901407,5.871132,6.840857,7.810582,8.780306,9.750031,10.719756
SQLEr,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
NDPK2,4.361742,5.121377,5.880063,6.627434,7.374761,8.122089,8.869416,9.595691,10.31284,11.029988
G6Pter,0.47619,0.625029,0.773812,0.921905,1.069996,1.218087,1.366179,1.512989,1.659244,1.805499
O2ter,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
SQ23EPXter,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
SQLter,0.332039,0.49366,0.65528,0.816901,0.978522,1.140143,1.301764,1.463384,1.625005,1.786626
CO2t,-58.568386,-58.856521,-59.165664,-59.725347,-60.285987,-60.846628,-61.407268,-62.434068,-63.662946,-64.891824
3C3HMPtm,-4.939734,-5.648122,-6.355329,-7.048461,-7.74154,-8.434618,-9.127697,-9.794587,-10.450125,-11.105663
PYRt2m,25.601726,25.677041,25.985862,24.525698,22.955508,21.385319,19.81513,20.107634,21.25811,22.408585
TALA,3.5162,4.405734,5.291987,5.722276,6.141436,6.560596,6.979756,6.601896,5.878779,5.155662
ACLSm,5.054517,5.752728,6.449712,7.132073,7.814378,8.496683,9.178989,9.834086,10.477388,11.120691
DHAD1m,5.054517,5.752728,6.449712,7.132073,7.814378,8.496683,9.178989,9.834086,10.477388,11.120691
TKT1,3.5162,4.405734,5.291987,5.722276,6.141436,6.560596,6.979756,6.601896,5.878779,5.155662
IPMD,4.939734,5.648122,6.355329,7.048461,7.74154,8.434618,9.127697,9.794587,10.450125,11.105663
IPPMIa,-4.939734,-5.648122,-6.355329,-7.048461,-7.74154,-8.434618,-9.127697,-9.794587,-10.450125,-11.105663
IPPMIb,-4.939734,-5.648122,-6.355329,-7.048461,-7.74154,-8.434618,-9.127697,-9.794587,-10.450125,-11.105663
IPPSm,4.939734,5.648122,6.355329,7.048461,7.74154,8.434618,9.127697,9.794587,10.450125,11.105663
