"","original_reaction","reaction_ID","xml_equation","bigg_name"
"1","13BGH: 13BDglcn_c + h2o_c --> glc_D_c","13BGH"," 13BDglcn_c + h2o_c --> glc_D_c","Endo 1 3 beta glucan glucohydrase"
"2","13BGHe: 13BDglcn_e + h2o_e --> glc_D_e","13BGHe"," 13BDglcn_e + h2o_e --> glc_D_e","Exo 1 3 beta glucan glucohydrase"
"3","ASADi: 4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c","ASADi"," 4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c",NA
"4","2DDA7Ptm: 2dda7p_c <=> 2dda7p_m","2DDA7Ptm"," 2dda7p_c <=> 2dda7p_m","2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion"
"5","2DHPtm: 2dhp_c <=> 2dhp_m","2DHPtm"," 2dhp_c <=> 2dhp_m","2 Dehydropantoate mitochondrial transport"
"6","2OHPH_5tn: 2ohph_5_c <=> 2ohph_5_n","2OHPH_5tn"," 2ohph_5_c <=> 2ohph_5_n",NA
"7","2OMPH_5tm: 2omph_5_c <=> 2omph_5_m","2OMPH_5tm"," 2omph_5_c <=> 2omph_5_m",NA
"8","2OMPH_5tn: 2omph_5_c <=> 2omph_5_n","2OMPH_5tn"," 2omph_5_c <=> 2omph_5_n",NA
"9","ASPKi: asp_L_c + atp_c --> 4pasp_c + adp_c","ASPKi"," asp_L_c + atp_c --> 4pasp_c + adp_c",NA
"10","34HPPOR: 34hpp_c + o2_c --> co2_c + hgentis_c","34HPPOR"," 34hpp_c + o2_c --> co2_c + hgentis_c","4 Hydroxyphenylpyruvateoxygen oxidoreductase"
"11","34HPPt2m: 34hpp_c + h_c <=> 34hpp_m + h_m","34HPPt2m"," 34hpp_c + h_c <=> 34hpp_m + h_m","3  4 hydroxyphenyl pyruvate mitochondrial transport via proton symport"
"12","34HPPt2p: 34hpp_c + h_c <=> 34hpp_x + h_x","34HPPt2p"," 34hpp_c + h_c <=> 34hpp_x + h_x","3  4 hydroxyphenyl pyruvate peroxisomal transport via proton symport"
"13","13GS: udpg_c --> 13BDglcn_c + h_c + udp_c","13GS"," udpg_c --> 13BDglcn_c + h_c + udp_c","1 3 beta glucan synthase"
"14","3C4MOPtm: 3c4mop_c <=> 3c4mop_m","3C4MOPtm"," 3c4mop_c <=> 3c4mop_m","3 Carboxy 4 methyl 2 oxopentanoate transport  diffusion  mitochondrial"
"15","3DSPHR: 3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c","3DSPHR"," 3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c","3 Dehydrosphinganine reductase"
"16","3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c","3HAO"," 3hanthrn_c + o2_c --> cmusa_c + h_c","3 hydroxyanthranilate 3 4 dioxygenase"
"17","GLCS2: udpg_c --> glycogen_c + h_c + udp_c","GLCS2"," udpg_c --> glycogen_c + h_c + udp_c","Glycogen synthase  UDPGlc "
"18","SBTD_D2: nad_c + sbt_D_c --> fru_c + h_c + nadh_c","SBTD_D2"," nad_c + sbt_D_c --> fru_c + h_c + nadh_c","D sorbitol dehydrogenase  D fructose producing "
"19","3OPHB_5tm: 3ophb_5_c <=> 3ophb_5_m","3OPHB_5tm"," 3ophb_5_c <=> 3ophb_5_m","3 Octaprenyl 4 hydroxybenzoate mitochondrial transport"
"20","4ABUTNtm: 4abutn_c <=> 4abutn_m","4ABUTNtm"," 4abutn_c <=> 4abutn_m","4 aminobutanal mitochondrial transport via diffusion"
"21","4ABUTtm: 4abut_c <=> 4abut_m","4ABUTtm"," 4abut_c <=> 4abut_m","4 aminobutanoate mitochondrial transport via diffusion"
"22","4ABZtm: 4abz_c <=> 4abz_m","4ABZtm"," 4abz_c <=> 4abz_m","4 Aminobenzoate mitochondrial transport via diffusion"
"23","4H2OGLTtm: 4h2oglt_c <=> 4h2oglt_m","4H2OGLTtm"," 4h2oglt_c <=> 4h2oglt_m","4 hydroxy 2 oxoglutarate mitochondrial transport via diffusion"
"24","4H2OGLTtp: 4h2oglt_c <=> 4h2oglt_x","4H2OGLTtp"," 4h2oglt_c <=> 4h2oglt_x","4 hydroxy 2 oxoglutarate peroxisomal transport via diffusion"
"25","4HBZtm: 4hbz_c <=> 4hbz_m","4HBZtm"," 4hbz_c <=> 4hbz_m","4 Hydroxybenzoate mitochondrial transport"
"26","4HPRO_LTtm: 4hpro_LT_c <=> 4hpro_LT_m","4HPRO_LTtm"," 4hpro_LT_c <=> 4hpro_LT_m","Trans 4 hydroxy L proline mitochondrial transport via diffusion"
"27","4HTHRS: h2o_c + phthr_c --> 4hthr_c + pi_c","4HTHRS"," h2o_c + phthr_c --> 4hthr_c + pi_c","4-Hydroxy-L-threonine synthase"
"28","5AOPt2: 5aop_e + h_e --> 5aop_c + h_c","5AOPt2"," 5aop_e + h_e --> 5aop_c + h_c","5 Aminolevulinate transport in via proton symport"
"29","5AOPtm: 5aop_c <=> 5aop_m","5AOPtm"," 5aop_c <=> 5aop_m","5 Aminolevulinate mitochondrial transport"
"30","5MTHFtm: 5mthf_c <=> 5mthf_m","5MTHFtm"," 5mthf_c <=> 5mthf_m",NA
"31","6PGLter: 6pgl_c <=> 6pgl_r","6PGLter"," 6pgl_c <=> 6pgl_r","6 phospho D glucono 1 5 lactone endoplasmic reticular transport via diffusion"
"32","8AONNt2: 8aonn_e + h_e <=> 8aonn_c + h_c","8AONNt2"," 8aonn_e + h_e <=> 8aonn_c + h_c","8 Amino 7 oxononanoate reversible transport via proton symport"
"33","AABTN: 4aabutn_c + h2o_c --> 4abut_c + ac_c","AABTN"," 4aabutn_c + h2o_c --> 4abut_c + ac_c","4 acetamidobutyrate deacetylase"
"34","AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c","AASAD1"," L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c","L aminoadipate semialdehyde dehydrogenase  NADPH "
"35","TRE6PP: h2o_c + tre6p_c --> pi_c + tre_c","TRE6PP"," h2o_c + tre6p_c --> pi_c + tre_c","Trehalose-phosphatase"
"36","ABTA: 4abut_c + akg_c --> glu_L_c + sucsal_c","ABTA"," 4abut_c + akg_c --> glu_L_c + sucsal_c","4-aminobutyrate transaminase"
"37","ABTt: abt_e <=> abt_c","ABTt"," abt_e <=> abt_c","L arabinitol transport via passive diffusion"
"38","ABUTDm: 4abutn_m + h2o_m + nad_m --> 4abut_m + 2.0 h_m + nadh_m","ABUTDm"," 4abutn_m + h2o_m + nad_m --> 4abut_m + 2.0 h_m + nadh_m","Aminobutyraldehyde dehydrogenase  mitochondrial"
"39","ABUTt2: 4abut_e + h_e --> 4abut_c + h_c","ABUTt2"," 4abut_e + h_e --> 4abut_c + h_c",NA
"40","TRE6PS: g6p_c + udpg_c --> h_c + tre6p_c + udp_c","TRE6PS"," g6p_c + udpg_c --> h_c + tre6p_c + udp_c","Alpha,alpha-trehalose-phosphate synthase (UDP-forming)"
"41","ACACT1m: 2.0 accoa_m <=> aacoa_m + coa_m","ACACT1m"," 2.0 accoa_m <=> aacoa_m + coa_m","Acetyl CoA C acetyltransferase  mitochondrial"
"42","ACACT4p: 3odcoa_x + coa_x --> accoa_x + occoa_x","ACACT4p"," 3odcoa_x + coa_x --> accoa_x + occoa_x","Acetyl CoA C acetyltransferase  octanoyl CoA   peroxisomal"
